iter	Passed	Remaining
0	37	7427
1	73	7231
2	105	6960
3	139	6835
4	177	6940
5	212	6858
6	245	6768
7	276	6632
8	306	6512
9	340	6464
10	368	6336
11	401	6282
12	429	6183
13	465	6179
14	493	6087
15	523	6019
16	555	5984
17	588	5947
18	619	5903
19	650	5858
20	677	5776
21	706	5714
22	734	5656
23	767	5628
24	803	5627
25	835	5591
26	864	5541
27	899	5527
28	931	5492
29	957	5427
30	989	5395
31	1023	5371
32	1056	5345
33	1091	5328
34	1118	5275
35	1151	5244
36	1183	5214
37	1216	5184
38	1247	5148
39	1280	5122
40	1319	5117
41	1352	5086
42	1378	5032
43	1410	4999
44	1448	4987
45	1480	4956
46	1508	4911
47	1539	4875
48	1569	4835
49	1600	4801
50	1634	4774
51	1668	4749
52	1700	4717
53	1732	4683
54	1766	4657
55	1795	4617
56	1826	4582
57	1855	4542
58	1884	4504
59	1919	4478
60	1948	4439
61	1983	4413
62	2013	4377
63	2046	4348
64	2077	4313
65	2109	4283
66	2140	4248
67	2173	4219
68	2207	4191
69	2236	4153
70	2269	4123
71	2303	4095
72	2333	4059
73	2358	4015
74	2386	3977
75	2416	3942
76	2450	3914
77	2483	3883
78	2512	3848
79	2546	3820
80	2576	3785
81	2608	3753
82	2640	3722
83	2671	3689
84	2704	3659
85	2738	3629
86	2772	3601
87	2801	3565
88	2836	3537
89	2867	3505
90	2898	3471
91	2928	3438
92	2959	3404
93	2988	3370
94	3018	3335
95	3052	3307
96	3084	3275
97	3118	3245
98	3155	3219
99	3190	3190
100	3223	3159
101	3255	3128
102	3286	3094
103	3319	3063
104	3346	3027
105	3375	2993
106	3406	2960
107	3432	2924
108	3465	2893
109	3494	2859
110	3528	2829
111	3561	2797
112	3590	2764
113	3622	2732
114	3654	2700
115	3686	2669
116	3719	2638
117	3748	2605
118	3778	2572
119	3813	2542
120	3844	2509
121	3869	2474
122	3901	2442
123	3929	2408
124	3963	2378
125	3994	2346
126	4026	2314
127	4056	2281
128	4088	2250
129	4121	2219
130	4153	2187
131	4182	2154
132	4217	2124
133	4249	2093
134	4283	2062
135	4310	2028
136	4340	1995
137	4374	1965
138	4402	1931
139	4434	1900
140	4463	1867
141	4494	1835
142	4527	1804
143	4558	1772
144	4590	1741
145	4627	1711
146	4659	1679
147	4693	1649
148	4723	1616
149	4758	1586
150	4791	1554
151	4826	1524
152	4856	1491
153	4883	1458
154	4916	1427
155	4947	1395
156	4982	1364
157	5018	1334
158	5049	1302
159	5081	1270
160	5114	1238
161	5146	1207
162	5174	1174
163	5205	1142
164	5240	1111
165	5274	1080
166	5310	1049
167	5338	1016
168	5367	984
169	5394	951
170	5429	920
171	5460	888
172	5491	857
173	5522	825
174	5554	793
175	5585	761
176	5623	730
177	5658	699
178	5695	668
179	5733	637
180	5767	605
181	5796	573
182	5826	541
183	5857	509
184	5888	477
185	5921	445
186	5954	413
187	5982	381
188	6019	350
189	6048	318
190	6081	286
191	6109	254
192	6137	222
193	6165	190
194	6202	159
195	6230	127
196	6265	95
197	6298	63
198	6325	31
199	6353	0
