number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9464588124813448,2026-07-28 20:55:30.043017,2026-07-28 20:55:31.716009,0 days 00:00:01.672992,0.8394633936788146,4.330880728874676,0.2536999076681772,5,2,0.004207053950287938,0.0017073967431528124,0.892797576724562,COMPLETE
1,0.9511004415294885,2026-07-28 20:55:31.718009,2026-07-28 20:55:34.680677,0 days 00:00:02.962668,0.9879639408647978,0.9170225492671691,0.11114989443094977,7,9,0.0070689749506246055,0.005337032762603957,0.608233797718321,COMPLETE
2,0.948454496389854,2026-07-28 20:55:34.683183,2026-07-28 20:55:37.477894,0 days 00:00:02.794711,0.7164916560792167,1.8318092164684585,0.05958389350068958,5,7,0.003613894271216527,0.01474275315991467,0.7727780074568463,COMPLETE
3,0.9500000925919524,2026-07-28 20:55:37.478894,2026-07-28 20:55:39.613180,0 days 00:00:02.134286,0.8056937753654446,0.8526206184364576,0.14447746112718687,6,6,0.0015339162591163618,0.26926469100861794,0.6798695128633439,COMPLETE
4,0.9454866367054743,2026-07-28 20:55:39.614184,2026-07-28 20:55:41.153711,0 days 00:00:01.539527,0.9233589392465844,2.2007624686980067,0.2521267904777921,3,4,0.002458603276328005,0.5456725485601477,0.9862528132298237,COMPLETE
5,0.9427686978758868,2026-07-28 20:55:41.154715,2026-07-28 20:55:43.566992,0 days 00:00:02.412277,0.9637281608315128,2.600340105889054,0.05388108577817234,3,3,0.4467752817973907,0.017654048052495083,0.6137554084460873,COMPLETE
6,0.9436902235261875,2026-07-28 20:55:43.567992,2026-07-28 20:55:46.568705,0 days 00:00:03.000713,0.9100531293444458,4.609371175115584,0.01875220945578641,7,10,3.7958531426706403,0.24637685958997463,0.9878338511058234,COMPLETE
7,0.9297757845956102,2026-07-28 20:55:46.569705,2026-07-28 20:55:49.075728,0 days 00:00:02.506023,0.7301321323053057,1.7837666334679465,0.01947558230629543,3,4,0.01217295809836997,2.0651425578959257,0.6180909155642152,COMPLETE
8,0.9481085364725965,2026-07-28 20:55:49.077728,2026-07-28 20:55:51.855827,0 days 00:00:02.778099,0.9208787923016158,0.993578407670862,0.06333268775321843,5,1,8.862326508576253,1.2273800987852967,0.6563696899899051,COMPLETE
9,0.9481794737782869,2026-07-28 20:55:51.857827,2026-07-28 20:55:54.072387,0 days 00:00:02.214560,0.8916028672163949,0.5793452976256486,0.1601531217136121,3,8,0.0019777828512462727,0.02715581955282941,0.8827429375390468,COMPLETE
10,0.9413941173372229,2026-07-28 20:55:54.073392,2026-07-28 20:55:57.822274,0 days 00:00:03.748882,0.6071847502459279,3.449874033290554,0.010206070557577008,10,10,0.06267752475616184,6.903717055434688,0.7474915090884389,COMPLETE
11,0.9508765116865588,2026-07-28 20:55:57.823781,2026-07-28 20:55:59.832267,0 days 00:00:02.008486,0.7784580597232836,0.09717729155117927,0.11438892897450689,8,7,0.026224931598221098,0.0018675879840826404,0.7003489799493193,COMPLETE
12,0.9511402474356592,2026-07-28 20:55:59.833277,2026-07-28 20:56:02.276634,0 days 00:00:02.443357,0.6053995877088292,0.22547047049087943,0.1045856849730588,9,8,0.04139305437685611,0.0012310907082674907,0.7127337783168454,COMPLETE
13,0.9508108870139158,2026-07-28 20:56:02.277634,2026-07-28 20:56:05.043306,0 days 00:00:02.765672,0.6104196060092706,0.013751479826557167,0.0802249198022823,9,9,0.11478407957753771,0.001018040230614477,0.7806482047464495,COMPLETE
14,0.9497099702783481,2026-07-28 20:56:05.044812,2026-07-28 20:56:08.742249,0 days 00:00:03.697437,0.9980936149651529,1.1926850417788806,0.03498935820472346,8,6,0.22736255348278067,0.005508571077477059,0.7248939743688466,COMPLETE
15,0.9508603480755372,2026-07-28 20:56:08.743255,2026-07-28 20:56:10.927636,0 days 00:00:02.184381,0.6734958019756507,1.4395464973253211,0.0955739104639027,10,8,0.01573487710251556,0.05624303640305578,0.8235194332173258,COMPLETE
16,0.9502450846260823,2026-07-28 20:56:10.928636,2026-07-28 20:56:12.461187,0 days 00:00:01.532551,0.8362430865667209,0.5185403307418619,0.17440237616841012,8,9,0.8270576077271912,0.0034286369417995586,0.6483448671465928,COMPLETE
17,0.9485183229471558,2026-07-28 20:56:12.463193,2026-07-28 20:56:15.563664,0 days 00:00:03.100471,0.663493288059687,2.845279069893717,0.03888919141687802,7,6,0.04249546350789274,0.006770050722858442,0.6016886659525034,COMPLETE
18,0.9506269010817766,2026-07-28 20:56:15.564668,2026-07-28 20:56:17.582207,0 days 00:00:02.017539,0.7455929884058193,0.5812067111908203,0.10759214886689439,9,8,0.008307364850791189,0.06820260770171177,0.6980073819107293,COMPLETE
19,0.9508366921482377,2026-07-28 20:56:17.583714,2026-07-28 20:56:19.385243,0 days 00:00:01.801529,0.8704943153519896,1.366162811089616,0.2026149705113999,7,9,0.1013510055041449,0.006912791788375353,0.8248916441037363,COMPLETE
20,0.9509789250729767,2026-07-28 20:56:19.387243,2026-07-28 20:56:23.622938,0 days 00:00:04.235695,0.6786234329553856,0.2530648705966133,0.03952419420259876,9,5,0.9578477309480394,0.0025323102876835756,0.6563349524747346,COMPLETE
21,0.9504305061714575,2026-07-28 20:56:23.623942,2026-07-28 20:56:27.854216,0 days 00:00:04.230274,0.6506412476507064,0.29530896251940986,0.03608181664888059,9,5,1.4229022620494547,0.002713922400600265,0.6463350185021076,COMPLETE
22,0.9493960346693608,2026-07-28 20:56:27.855841,2026-07-28 20:56:32.387881,0 days 00:00:04.532040,0.69566419762438,0.8672233734295945,0.023956631682318826,10,7,0.006584255446714257,0.0013048792221295568,0.669303170140162,COMPLETE
23,0.95051143285291,2026-07-28 20:56:32.389881,2026-07-28 20:56:35.164717,0 days 00:00:02.774836,0.6369120198064522,0.42789116940740457,0.0755740873289313,9,5,0.2417802240550432,0.011131820574704434,0.7206177819603851,COMPLETE
24,0.951017410197805,2026-07-28 20:56:35.165717,2026-07-28 20:56:37.741127,0 days 00:00:02.575410,0.7743244477829698,0.060139227907507975,0.13178795061982662,6,10,0.02130266843586475,0.0036933645340907558,0.6408032351927841,COMPLETE
25,0.9502263694625653,2026-07-28 20:56:37.742127,2026-07-28 20:56:40.064653,0 days 00:00:02.322526,0.7717848404909633,0.012201485195010187,0.1285406309845711,6,10,0.026018003569590522,0.033728610267667415,0.6284554849036679,COMPLETE
26,0.9497308815610138,2026-07-28 20:56:40.065656,2026-07-28 20:56:42.884193,0 days 00:00:02.818537,0.8068702858501737,1.6762400364859609,0.08401524449280552,6,9,0.017968010273065046,0.004607724491465442,0.689473300719658,COMPLETE
27,0.9497230478764368,2026-07-28 20:56:42.885232,2026-07-28 20:56:45.124058,0 days 00:00:02.238826,0.9538086978473035,0.7826160233353417,0.19422006747858475,4,10,0.04895556204345421,0.010625418911693043,0.7405114480881256,COMPLETE
28,0.9508311187811264,2026-07-28 20:56:45.125650,2026-07-28 20:56:47.831056,0 days 00:00:02.705406,0.8570552384294297,1.1525768585641165,0.13499443406321493,7,8,0.006913310355258216,0.0010238390875122127,0.6302677880039232,COMPLETE
29,0.9483781895040183,2026-07-28 20:56:47.833067,2026-07-28 20:56:49.210961,0 days 00:00:01.377894,0.8242644938588246,2.16575208733694,0.283720173596906,5,9,0.0010224189314486931,0.0022220113649556814,0.7846780493863432,COMPLETE
30,0.9483419823268467,2026-07-28 20:56:49.212979,2026-07-28 20:56:50.995955,0 days 00:00:01.782976,0.7722406415410621,3.5026334822924516,0.21127000278222519,6,10,0.00401245091748268,0.004850151388594664,0.70582127513501,COMPLETE
31,0.9507986284480956,2026-07-28 20:56:50.996955,2026-07-28 20:56:54.938931,0 days 00:00:03.941976,0.6905776677685456,0.3016756179639033,0.04638496668494151,8,1,1.7986778324447286,0.0025311886192519424,0.668130488861855,COMPLETE
32,0.9521416540290891,2026-07-28 20:56:54.939931,2026-07-28 20:56:58.344780,0 days 00:00:03.404849,0.6374646238445529,0.34312412320056673,0.06889238768249373,9,2,0.10373328038764519,0.001864360204942088,0.6426774521493096,COMPLETE
33,0.9488627183049373,2026-07-28 20:56:58.346782,2026-07-28 20:57:01.544924,0 days 00:00:03.198142,0.6357395214712234,0.7267358498903016,0.06527864685720294,5,2,0.10044937045437613,0.001435163324099708,0.6004921067642129,COMPLETE
34,0.9512045737871869,2026-07-28 20:57:01.546927,2026-07-28 20:57:04.294115,0 days 00:00:02.747188,0.6020119690433873,1.0551980484234038,0.10397731180039523,8,2,0.029766887504681774,0.009255172415655644,0.6402873652279449,COMPLETE
35,0.9500052585142678,2026-07-28 20:57:04.296118,2026-07-28 20:57:06.920667,0 days 00:00:02.624549,0.6017841283912385,1.489831238108461,0.0955105468223617,8,2,0.20624652101956129,0.013563936973387355,0.6804520651946775,COMPLETE
36,0.9505499746991019,2026-07-28 20:57:06.920667,2026-07-28 20:57:10.662922,0 days 00:00:03.742255,0.6312903416004992,1.0415908110003593,0.048931963390956096,8,3,0.062568669956236,0.00776587498368716,0.6224830903073209,COMPLETE
37,0.9506309918765284,2026-07-28 20:57:10.663926,2026-07-28 20:57:13.612276,0 days 00:00:02.948350,0.7072319823673873,0.7744406477046586,0.07018551493669138,9,3,0.03975842950609287,0.13222950358984664,0.67519517024869,COMPLETE
38,0.9501663202034943,2026-07-28 20:57:13.613783,2026-07-28 20:57:16.323104,0 days 00:00:02.709321,0.627201635409213,2.0741155613765594,0.0977836216857307,7,2,0.01087060673097956,0.022008790333808807,0.7566417960836707,COMPLETE
39,0.9504132716165897,2026-07-28 20:57:16.324611,2026-07-28 20:57:19.119800,0 days 00:00:02.795189,0.7329134926321474,1.245717568004397,0.05961772865826501,10,4,0.4632805240573471,0.001740177389803403,0.9554477427050652,COMPLETE
